ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,city
: le prix du m² partout en France  - Août 2025,2152.0,1184.0,3293.0,1694.0,696.0,3360.0,12.9,8.8,18.0,12.4,9.6,17.8,WAMBEZ (60380)
: le prix du m² partout en France  - Août 2025,2019.0,1335.0,3810.0,2113.0,896.0,3409.0,14.7,10.5,19.9,13.5,9.9,16.6,WARLUIS (60430)
: le prix du m² partout en France  - Août 2025,1931.0,1280.0,2596.0,1555.0,622.0,2524.0,12.2,8.4,17.4,11.5,8.5,16.5,WAVIGNIES (60130)
: le prix du m² partout en France  - Août 2025,1899.0,1321.0,2471.0,1285.0,664.0,1841.0,12.3,8.9,20.6,11.0,7.4,14.3,WELLES PERENNES (60420)
: le prix du m² partout en France  - Août 2025,1889.0,912.0,2652.0,1950.0,1449.0,3174.0,12.6,9.3,20.1,13.3,10.0,19.0,AUX MARAIS (60000)
: le prix du m² partout en France  - Août 2025,1228.0,700.0,2108.0,1590.0,752.0,2625.0,11.2,7.5,20.2,10.8,7.2,14.0,ALENCON (61000)
Marnefer,1815.0,1232.0,2439.0,1403.0,561.0,2806.0,10.0,7.6,14.4,10.6,8.0,15.3,MARNEFER (61550)
Marnefer,1815.0,1232.0,2439.0,1403.0,561.0,2806.0,10.0,7.6,14.4,10.6,8.0,15.3,ST NICOLAS DES LAITIERS (61550)
Marnefer,1815.0,1232.0,2439.0,1403.0,561.0,2806.0,10.0,7.6,14.4,10.6,8.0,15.3,VILLERS EN OUCHE (61550)
Marnefer,1849.0,941.0,2826.0,1114.0,445.0,1990.0,10.5,5.8,16.4,8.2,6.9,10.9,ANTOIGNY (61410)
Marnefer,1519.0,822.0,2406.0,1085.0,437.0,2047.0,10.7,7.3,19.2,9.7,7.4,13.3,LA FERTE MACE (61600)
Marnefer,1305.0,642.0,2393.0,1270.0,533.0,2327.0,9.8,7.1,16.4,10.1,7.8,15.3,FLERS (61100)
Marnefer,1294.0,678.0,2230.0,1527.0,611.0,3054.0,12.4,9.3,19.0,11.7,9.7,16.2,FLEURE (61200)
Marnefer,1237.0,605.0,1943.0,1205.0,482.0,2085.0,9.6,6.6,17.3,8.8,6.8,11.4,FONTAINE LES BASSETS (61160)
Marnefer,1393.0,893.0,2068.0,1393.0,557.0,2563.0,11.1,9.4,12.7,8.6,6.5,12.4,FRANCHEVILLE (61570)
Marnefer,1767.0,1140.0,2663.0,1509.0,603.0,2994.0,10.5,7.2,17.8,9.7,7.1,13.5,LA FRESNAIE FAYEL (61230)
Marnefer,1232.0,593.0,1922.0,1709.0,683.0,2689.0,10.5,7.2,17.8,9.7,7.1,13.5,FRESNAY LE SAMSON (61120)
Marnefer,1165.0,824.0,2124.0,1176.0,488.0,2098.0,10.0,6.6,16.9,9.7,6.9,13.1,GACE (61230)
Marnefer,1426.0,981.0,2258.0,1410.0,684.0,2234.0,9.8,5.4,14.2,8.3,6.5,11.5,GANDELAIN (61420)
Marnefer,1155.0,492.0,2046.0,1368.0,547.0,2735.0,8.2,6.0,10.5,,,,GAPREE (61390)
Marnefer,1374.0,922.0,1885.0,1797.0,719.0,3595.0,10.2,5.6,16.5,9.8,7.7,12.4,LES GENETTES (61270)
Marnefer,1348.0,830.0,2136.0,1475.0,590.0,2713.0,11.6,8.6,14.2,11.0,7.9,16.6,GIEL COURTEILLES (61210)
Marnefer,1292.0,675.0,2228.0,1532.0,789.0,2969.0,10.5,7.2,17.8,9.7,7.1,13.5,GINAI (61310)
Marnefer,1768.0,1201.0,2406.0,1533.0,613.0,2939.0,8.9,6.7,10.3,9.9,6.2,12.5,LA GONFRIERE (61550)
Marnefer,1295.0,679.0,2230.0,1575.0,630.0,2463.0,10.9,6.7,13.4,10.5,5.8,14.6,GOULET (61150)
Marnefer,1394.0,848.0,2172.0,1406.0,599.0,2729.0,9.6,6.1,17.4,9.5,5.9,11.9,MONTGAROULT (61150)
Marnefer,1237.0,631.0,1969.0,1496.0,598.0,2731.0,10.3,8.2,14.6,9.6,5.9,12.4,SENTILLY (61150)
Marnefer,1841.0,938.0,2812.0,1335.0,586.0,2294.0,10.0,5.5,14.4,8.0,6.8,13.0,LE GRAIS (61600)
Marnefer,1527.0,990.0,2118.0,1487.0,595.0,2974.0,9.3,5.8,14.3,9.0,6.4,11.4,LE GUE DE LA CHAINE (61130)
Marnefer,1528.0,990.0,2130.0,1742.0,697.0,3484.0,13.0,9.5,20.0,10.5,7.9,13.4,ORIGNY LE BUTIN (61130)
Marnefer,1206.0,630.0,2169.0,1481.0,592.0,2962.0,9.5,5.2,16.7,9.0,6.6,11.9,SERIGNY (61130)
Marnefer,1269.0,627.0,2172.0,1868.0,829.0,3736.0,10.5,7.2,17.8,9.7,7.1,13.5,ST OUEN DE LA COUR (61130)
Marnefer,1274.0,713.0,2241.0,1899.0,760.0,3799.0,10.6,6.7,18.5,10.0,7.6,12.8,LA PERRIERE (61360)
Marnefer,1406.0,954.0,1906.0,1620.0,648.0,3239.0,9.4,5.7,16.1,9.1,6.3,11.4,EPERRAIS (61400)
Marnefer,1836.0,1325.0,2647.0,1504.0,872.0,2753.0,11.2,6.2,15.8,10.1,5.9,15.2,GUEPREI (61160)
Marnefer,1887.0,1287.0,2763.0,1379.0,551.0,2757.0,13.7,11.3,18.3,11.4,7.7,15.1,GUERQUESALLES (61120)
Marnefer,1410.0,845.0,2220.0,1442.0,611.0,2883.0,9.9,6.8,16.0,9.3,6.4,14.8,HABLOVILLE (61210)
Marnefer,1262.0,631.0,2151.0,1572.0,711.0,3145.0,13.5,11.5,16.8,11.1,8.1,16.2,HAUTERIVE (61250)
Marnefer,1391.0,799.0,2573.0,1633.0,780.0,2743.0,11.9,9.1,15.0,11.5,9.6,14.8,HELOUP (61250)
Marnefer,1471.0,936.0,2214.0,1757.0,778.0,3515.0,9.8,8.3,15.2,,,,L HOME CHAMONDOT (61290)
Marnefer,1545.0,969.0,2191.0,1592.0,637.0,3183.0,9.4,5.8,14.4,9.1,6.4,11.4,IGE (61130)
Marnefer,1371.0,882.0,2038.0,1619.0,648.0,3238.0,10.2,5.6,16.6,9.8,7.6,12.8,IRAI (61190)
Marnefer,1336.0,844.0,2047.0,1254.0,502.0,2508.0,9.9,5.5,15.2,7.9,6.4,10.0,JOUE DU BOIS (61320)
Marnefer,1295.0,677.0,2234.0,1568.0,674.0,3135.0,12.1,9.0,14.6,12.3,10.2,17.0,JOUE DU PLAIN (61150)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,BEAULANDAIS (61140)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,JUVIGNY SOUS ANDAINE (61140)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,LA BAROCHE SOUS LUCE (61330)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,LORE (61330)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,LUCE (61330)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,SEPT FORGES (61330)
Marnefer,1382.0,861.0,2602.0,1151.0,461.0,2303.0,10.1,6.5,14.2,8.5,6.2,11.4,ST DENIS DE VILLENETTE (61330)
Marnefer,1293.0,677.0,2229.0,1662.0,813.0,2434.0,13.2,10.7,22.5,13.0,9.8,17.6,JUVIGNY SUR ORNE (61200)
Marnefer,1334.0,681.0,2328.0,1549.0,620.0,3098.0,10.2,6.1,12.1,9.1,6.7,12.3,LALACELLE (61320)
Marnefer,1727.0,878.0,2640.0,1512.0,670.0,2622.0,10.5,6.8,16.4,10.7,7.1,14.3,L AIGLE (61300)
Marnefer,1465.0,994.0,1967.0,1673.0,669.0,3345.0,9.8,5.4,17.1,9.3,7.1,15.0,LALEU (61170)
Marnefer,1227.0,624.0,2072.0,1472.0,589.0,2769.0,10.0,6.9,14.6,9.0,6.2,14.2,LA LANDE DE GOULT (61320)
Marnefer,1816.0,929.0,2767.0,1433.0,573.0,2744.0,10.5,7.2,17.8,9.7,7.1,13.5,LA LANDE DE LOUGE (61210)
Marnefer,1156.0,568.0,1559.0,1264.0,506.0,2372.0,9.9,7.4,15.4,8.2,5.2,10.8,LA LANDE PATRY (61100)
Marnefer,1389.0,806.0,2301.0,1084.0,433.0,2167.0,10.9,7.6,15.8,9.1,6.5,13.2,LA LANDE ST SIMEON (61100)
Marnefer,1369.0,697.0,2488.0,1422.0,569.0,2552.0,10.1,6.4,15.6,9.0,7.5,14.9,LANDIGOU (61100)
Marnefer,1285.0,678.0,2335.0,1178.0,471.0,2047.0,10.1,6.4,14.7,8.7,5.6,11.4,LANDISACQ (61100)
Marnefer,1262.0,632.0,2150.0,1590.0,636.0,2447.0,11.0,8.9,16.0,,,,LARRE (61250)
Marnefer,1528.0,1026.0,2232.0,1508.0,689.0,3016.0,10.5,7.2,17.8,9.7,7.1,13.5,LIGNERES (61240)
Marnefer,1840.0,938.0,2811.0,1302.0,521.0,2141.0,9.8,6.5,14.4,9.1,6.2,14.4,LIGNOU (61220)
Marnefer,1364.0,815.0,2460.0,1486.0,594.0,2972.0,10.2,6.2,12.2,9.0,6.2,11.8,LONGUENOE (61320)
Marnefer,1365.0,920.0,1961.0,1225.0,579.0,2450.0,10.4,7.2,16.4,9.2,6.7,12.8,ST DIDIER SOUS ECOUVES (61320)
Marnefer,1254.0,748.0,2458.0,1390.0,556.0,2540.0,10.2,7.0,18.4,8.7,5.7,11.7,FONTENAI LES LOUVETS (61420)
Marnefer,1373.0,931.0,1957.0,1245.0,613.0,2490.0,11.1,7.5,17.8,8.9,6.3,12.1,LIVAIE (61420)
Marnefer,1348.0,918.0,1842.0,1608.0,643.0,3215.0,9.0,6.8,10.3,10.3,6.8,14.0,LOISAIL (61400)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,LA LANDE SUR EURE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,LONGNY AU PERCHE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,MALETABLE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,MARCHAINVILLE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,MONCEAUX AU PERCHE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,MOULICENT (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,NEUILLY SUR EURE (61290)
Marnefer,1422.0,769.0,2263.0,1622.0,649.0,3244.0,9.6,5.3,16.8,9.2,6.4,12.6,ST VICTOR DE RENO (61290)
Marnefer,1131.0,540.0,1606.0,1147.0,459.0,2294.0,10.1,5.7,15.8,8.0,6.7,12.1,LONLAY L ABBAYE (61700)
Marnefer,1841.0,938.0,2812.0,1331.0,533.0,2441.0,9.8,6.5,14.4,9.0,6.1,14.3,LONLAY LE TESSON (61600)
Marnefer,1391.0,799.0,2573.0,1564.0,656.0,2537.0,11.6,8.9,14.6,11.0,8.9,14.0,LONRAI (61250)
Marnefer,1339.0,830.0,2111.0,1175.0,470.0,2089.0,10.0,5.5,14.4,8.6,6.0,12.0,LOUGE SUR MAIRE (61150)
Marnefer,1235.0,600.0,1942.0,1268.0,507.0,2230.0,10.5,7.2,17.8,9.7,7.1,13.5,LOUVIERES EN AUGE (61160)
Marnefer,1197.0,526.0,2170.0,1350.0,660.0,2701.0,10.5,5.8,16.4,8.0,6.4,10.1,MACE (61500)
Marnefer,1439.0,949.0,2148.0,1555.0,622.0,2695.0,12.1,7.1,19.8,11.0,7.2,14.1,LA MADELEINE BOUVET (61110)
Marnefer,1186.0,640.0,2129.0,1468.0,587.0,2935.0,9.9,5.5,16.1,9.3,6.4,12.0,LE MAGE (61290)
Marnefer,1303.0,799.0,2047.0,1548.0,619.0,3096.0,9.9,6.3,16.7,8.4,6.3,11.9,MAGNY LE DESERT (61600)
Marnefer,1262.0,637.0,2143.0,1740.0,696.0,3479.0,13.4,11.4,16.8,11.2,7.7,14.4,MAHERU (61380)
Marnefer,1265.0,752.0,1964.0,1073.0,429.0,2147.0,10.5,5.8,16.4,8.2,6.4,11.2,MANTILLY (61350)
Marnefer,1263.0,635.0,2146.0,1510.0,709.0,3020.0,13.8,10.8,16.8,10.2,8.6,13.0,MARCHEMAISONS (61170)
Marnefer,1263.0,635.0,2146.0,1510.0,709.0,3020.0,13.8,10.8,16.8,10.2,8.6,13.0,MARDILLY (61230)
Marnefer,1363.0,913.0,1929.0,1389.0,555.0,2777.0,9.5,5.9,14.6,9.2,6.9,12.5,MAUVES SUR HUISNE (61400)
Marnefer,1445.0,963.0,2062.0,1301.0,537.0,2303.0,9.5,6.0,17.2,9.6,8.2,15.1,MEDAVY (61570)
Marnefer,1393.0,904.0,2540.0,1179.0,471.0,2199.0,9.7,5.7,16.9,8.2,6.2,12.2,MEHOUDIN (61410)
Marnefer,1475.0,1001.0,1974.0,1234.0,494.0,2125.0,10.2,6.8,17.5,9.3,6.8,13.3,LE MELE SUR SARTHE (61170)
Marnefer,1412.0,946.0,1935.0,1378.0,551.0,2533.0,10.5,7.2,17.8,9.7,7.1,13.5,LE MENIL BERARD (61270)
Marnefer,1310.0,757.0,2167.0,1259.0,504.0,2518.0,10.0,6.4,16.9,8.7,6.2,12.8,LE MENIL DE BRIOUZE (61220)
Marnefer,1524.0,999.0,2093.0,1301.0,521.0,2603.0,11.6,8.6,14.2,9.5,6.7,12.7,LE MENIL BROUT (61250)
Marnefer,1259.0,678.0,2274.0,1483.0,593.0,2626.0,11.0,9.4,12.7,9.4,6.4,13.0,LE MENIL CIBOULT (61800)
Marnefer,1523.0,1038.0,2040.0,1330.0,619.0,2660.0,8.9,6.7,10.2,8.1,6.9,12.5,MENIL ERREUX (61250)
Marnefer,1202.0,569.0,1999.0,1116.0,446.0,2232.0,10.5,7.2,17.8,9.7,7.1,13.5,MENIL FROGER (61240)
Marnefer,1339.0,762.0,2230.0,1243.0,550.0,2486.0,11.1,8.5,17.0,10.9,8.8,16.4,MENIL GONDOUIN (61210)
Marnefer,1265.0,649.0,2131.0,1502.0,658.0,3003.0,10.5,7.2,17.8,9.7,7.1,13.5,LE MENIL GUYON (61170)
Marnefer,1404.0,832.0,2299.0,1136.0,454.0,2272.0,10.2,7.0,16.3,9.6,6.2,14.5,MENIL HERMEI (61210)
Marnefer,1685.0,1101.0,2521.0,1625.0,650.0,3079.0,10.1,8.6,12.0,10.4,6.3,12.6,MENIL HUBERT EN EXMES (61230)
Marnefer,1388.0,806.0,2299.0,1150.0,460.0,2300.0,11.2,7.0,14.2,11.1,8.2,16.8,MENIL HUBERT SUR ORNE (61430)
Marnefer,1345.0,877.0,2005.0,1356.0,543.0,2713.0,11.0,9.4,12.7,8.3,6.3,12.2,LE MENIL SCELLEUR (61320)
Marnefer,1543.0,1032.0,2257.0,1509.0,703.0,3018.0,10.5,7.2,17.8,9.7,7.1,13.5,LE MENIL VICOMTE (61240)
Marnefer,1172.0,596.0,1556.0,1458.0,583.0,2375.0,10.5,7.2,17.8,9.7,7.1,13.5,MENIL VIN (61210)
Marnefer,2046.0,1388.0,2620.0,1533.0,675.0,2561.0,13.7,10.4,21.5,13.1,10.2,16.1,LES MENUS (61290)
Marnefer,1184.0,550.0,2006.0,1306.0,522.0,2612.0,10.9,6.6,17.3,8.0,5.6,10.4,GODISSON (61240)
Marnefer,1457.0,999.0,1929.0,1443.0,577.0,2885.0,10.5,7.2,17.8,9.7,7.1,13.5,LA GENEVRAIE (61240)
Marnefer,1193.0,572.0,2037.0,1125.0,450.0,2251.0,9.7,6.4,14.3,8.0,6.1,11.9,LE MERLERAULT (61240)
Marnefer,1166.0,713.0,2232.0,1257.0,503.0,2513.0,10.5,7.2,17.8,9.7,7.1,13.5,LES AUTHIEUX DU PUITS (61240)
Marnefer,1194.0,516.0,2066.0,1136.0,455.0,2272.0,9.9,6.8,14.6,9.6,6.5,12.6,NONANT LE PIN (61240)
Marnefer,2072.0,1500.0,2991.0,1361.0,739.0,2721.0,10.6,9.0,16.2,10.1,5.9,13.8,MERRI (61160)
Marnefer,1453.0,963.0,2022.0,1591.0,678.0,3182.0,14.2,9.2,21.9,11.4,8.2,13.1,LA MESNIERE (61560)
Marnefer,1391.0,746.0,2465.0,1414.0,566.0,2611.0,9.9,5.5,14.0,8.1,6.9,11.4,MESSEI (61440)
Marnefer,1391.0,799.0,2573.0,1539.0,615.0,3077.0,11.3,8.6,14.6,10.7,9.1,14.2,MIEUXCE (61250)
Marnefer,1283.0,689.0,2305.0,1486.0,657.0,2629.0,11.0,9.4,12.7,9.4,6.8,13.6,MONCY (61800)
Marnefer,1601.0,1015.0,2434.0,1408.0,670.0,2302.0,9.7,6.1,17.4,9.7,6.0,12.2,MONTABARD (61160)
Marnefer,1474.0,1008.0,1943.0,1792.0,717.0,3583.0,10.1,5.6,13.2,9.7,6.8,13.4,MONTCHEVREL (61170)
Marnefer,1542.0,1009.0,2129.0,1657.0,663.0,3315.0,10.5,7.2,17.8,9.7,7.1,13.5,MONTGAUDRY (61360)
Marnefer,1340.0,705.0,2390.0,1318.0,527.0,2380.0,11.0,9.4,12.7,9.3,7.3,12.5,MONTILLY SUR NOIREAU (61100)
Marnefer,1423.0,933.0,2057.0,1675.0,741.0,3349.0,11.4,7.7,16.2,10.2,5.8,15.0,MONTMERREI (61570)
Marnefer,1207.0,557.0,1933.0,1381.0,552.0,2761.0,10.5,7.2,17.8,9.7,7.1,13.5,MONT ORMEL (61160)
Marnefer,1326.0,816.0,2103.0,1307.0,523.0,2453.0,9.8,6.6,15.2,9.4,7.0,15.0,MONTREUIL AU HOULME (61210)
Marnefer,2107.0,1466.0,3072.0,1517.0,804.0,3034.0,10.5,7.2,17.8,9.7,7.1,13.5,MONTREUIL LA CAMBE (61160)
Marnefer,1281.0,688.0,2304.0,1263.0,505.0,2525.0,10.5,7.1,14.3,9.2,6.7,12.3,MONTSECRET CLAIREFOUGERE (61800)
Marnefer,1281.0,688.0,2304.0,1263.0,505.0,2525.0,10.5,7.1,14.3,9.2,6.7,12.3,CLAIREFOUGERE (61800)
Marnefer,1401.0,847.0,2103.0,1685.0,674.0,3370.0,10.4,6.6,16.7,10.3,7.4,14.8,MORTAGNE AU PERCHE (61400)
Marnefer,1425.0,945.0,2031.0,1678.0,683.0,3355.0,9.8,6.1,17.6,9.1,7.1,12.6,ST HILAIRE LA GERARD (61500)
Marnefer,1188.0,543.0,2127.0,1243.0,497.0,2486.0,10.0,7.1,14.7,9.0,5.8,13.2,MORTREE (61570)
Marnefer,1308.0,812.0,2013.0,1240.0,496.0,2479.0,11.0,9.4,12.7,8.3,6.3,11.2,LA MOTTE FOUQUET (61600)
Marnefer,1224.0,913.0,2235.0,1158.0,463.0,2168.0,9.8,5.4,17.2,9.7,7.6,14.6,MOULINS LA MARCHE (61380)
Marnefer,1421.0,867.0,2159.0,1722.0,738.0,2994.0,11.8,9.6,15.6,11.3,8.2,15.6,MOULINS SUR ORNE (61200)
Marnefer,1148.0,619.0,2160.0,1708.0,683.0,3417.0,11.6,8.0,16.0,,,,MOUTIERS AU PERCHE (61110)
Marnefer,1419.0,947.0,1968.0,1610.0,702.0,3220.0,8.9,6.7,10.2,9.0,7.0,12.5,NEAUPHE SOUS ESSAI (61500)
Marnefer,2053.0,1436.0,2968.0,1501.0,723.0,3003.0,11.3,8.7,20.3,9.6,6.6,13.6,NEAUPHE SUR DIVE (61160)
Marnefer,1597.0,1000.0,2447.0,1464.0,586.0,2322.0,9.9,5.4,14.2,9.6,6.1,12.3,NECY (61160)
Marnefer,1523.0,1032.0,2045.0,1324.0,703.0,2648.0,11.6,8.6,14.2,9.4,7.0,12.3,NEUILLY LE BISSON (61250)
Marnefer,1761.0,1148.0,2651.0,1411.0,565.0,2823.0,8.9,6.8,10.2,9.6,6.1,12.9,NEUVILLE SUR TOUQUES (61120)
Marnefer,1587.0,968.0,2482.0,1442.0,577.0,2723.0,13.2,11.2,15.9,10.8,8.0,15.0,NEUVY AU HOULME (61210)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,COLONARD CORUBERT (61340)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,DANCE (61340)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,NOCE (61340)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,PREAUX DU PERCHE (61340)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,ST AUBIN DES GROIS (61340)
Marnefer,1351.0,877.0,1952.0,1819.0,728.0,3639.0,10.6,6.0,14.3,10.6,8.8,14.4,ST JEAN DE LA FORET (61340)
Marnefer,1554.0,975.0,2388.0,1544.0,618.0,2698.0,12.2,8.5,17.0,10.4,8.4,14.8,OCCAGNES (61200)
Marnefer,2073.0,1498.0,2997.0,1342.0,748.0,2684.0,9.8,7.3,12.8,9.2,6.8,15.8,OMMOY (61160)
Marnefer,1176.0,877.0,2215.0,1503.0,601.0,3006.0,11.0,6.8,16.3,,,,ORGERES (61230)
Marnefer,1176.0,877.0,2215.0,1503.0,601.0,3006.0,11.0,6.8,16.3,,,,ORIGNY LE ROUX (61130)
Westbecourt,2951.0,1776.0,4341.0,1776.0,835.0,2849.0,11.4,6.5,13.1,12.1,7.6,15.8,WESTBECOURT (62380)
Westbecourt,2417.0,1705.0,4545.0,1718.0,687.0,2589.0,11.9,9.1,21.5,11.7,8.4,15.2,ADINFER (62116)
Westbecourt,2796.0,1844.0,4638.0,1795.0,988.0,2389.0,11.5,7.7,17.4,10.5,7.6,12.4,AFFRINGUES (62380)
Westbecourt,2963.0,1806.0,4332.0,2241.0,1132.0,4269.0,11.9,7.8,14.2,11.7,8.4,16.1,AGNEZ LES DUISANS (62161)
Westbecourt,3062.0,2026.0,4298.0,1857.0,806.0,3176.0,12.2,8.5,20.2,12.7,10.6,15.6,AGNIERES (62690)
Westbecourt,2417.0,1705.0,4545.0,2036.0,979.0,3154.0,12.4,8.8,21.0,11.1,8.5,14.7,AGNY (62217)
Westbecourt,1580.0,806.0,3022.0,1616.0,652.0,3106.0,10.7,6.8,17.9,10.6,6.8,15.4,AIRE SUR LA LYS (62120)
Westbecourt,5967.0,2835.0,8804.0,2625.0,1136.0,4385.0,12.0,7.9,21.6,12.9,9.9,16.2,AIRON NOTRE DAME (62180)
Westbecourt,5966.0,2834.0,8802.0,2463.0,1119.0,4676.0,12.0,7.9,21.6,12.7,10.6,16.2,AIRON ST VAAST (62180)
Westbecourt,2845.0,1177.0,5018.0,1398.0,701.0,2162.0,9.3,7.3,10.7,,,,AIX EN ERGNY (62650)
Westbecourt,3049.0,1220.0,5461.0,1521.0,608.0,2280.0,11.2,7.7,13.3,11.1,7.9,13.2,AIX EN ISSART (62170)
Westbecourt,2363.0,1726.0,3426.0,1854.0,833.0,2990.0,11.7,8.3,17.0,10.7,7.9,13.1,AIX NOULETTE (62160)
Westbecourt,2660.0,1580.0,5089.0,2003.0,1019.0,3648.0,10.8,6.1,12.4,10.5,7.3,13.3,ALEMBON (62850)
Westbecourt,5954.0,2828.0,8784.0,1870.0,748.0,3008.0,11.2,8.3,15.5,10.7,7.6,14.8,ALETTE (62650)
Westbecourt,3818.0,1630.0,5672.0,2319.0,1125.0,3780.0,12.2,9.8,15.2,11.3,8.8,13.1,ALINCTHUN (62142)
Westbecourt,1453.0,1140.0,2469.0,1530.0,647.0,2564.0,10.8,6.3,13.2,10.8,7.8,14.9,ALLOUAGNE (62157)
